actual,predict
14.70161651,14.25099935
14.33496914,13.94148079
14.69222956,14.25099935
14.21978651,14.4688308
14.16729072,13.94148079
14.15038639,14.4688308
14.03464473,14.4688308
14.46407844,15.56756607
14.49154659,15.56756607
14.4725533,13.94148079
14.38226361,15.56756607
14.03327771,14.4688308
14.27990747,14.4688308
14.34592096,14.4688308
13.76046853,14.25099935
14.29778185,14.4688308
14.3139291,14.25099935
13.94448168,15.56756607
13.54234914,15.56756607
14.44081162,14.63628554
14.04076001,14.25099935
13.88342308,15.56756607
13.93568235,15.56756607
14.14850323,15.56756607
14.16419357,15.56756607
13.77366453,13.94148079
14.42056383,14.4688308
16.39457358,13.94148079
15.94136766,15.56756607
16.05409836,14.25099935
16.02078256,14.4688308
15.41854443,13.94148079
16.16675866,14.4688308
16.3155961,15.56756607
16.20824795,15.56756607
16.25479606,15.56756607
16.12674637,14.4688308
16.15671219,13.94148079
16.37471925,14.4688308
15.75885754,14.4688308
16.51125921,14.25099935
16.20594642,14.25099935
16.30329523,14.63628554
16.40281628,13.94148079
16.12851034,14.76148409
16.25904774,14.25099935
16.27112871,14.25099935
15.94398314,14.4688308
15.8977786,13.94148079
15.24432392,13.94148079
15.80690526,14.63628554
15.87110576,14.25099935
15.75906376,15.56756607
16.08235211,15.56756607
15.63468587,14.63628554
16.13159519,15.56756607
16.12785751,14.63628554
15.68831099,13.94148079
16.09092984,14.4688308
15.73454455,14.63628554
15.81551018,14.25099935
16.11868973,14.25099935
15.54896144,15.56756607
15.94993085,14.25099935
15.90440353,13.94148079
15.86532599,14.4688308
16.03035529,14.4688308
16.06047514,14.63628554
15.69026894,14.4688308
15.9445142,15.56756607
16.16979091,14.4688308
16.19423902,15.56756607
15.72062837,14.4688308
16.28245614,13.94148079
16.01044844,14.4688308
15.75774796,14.4688308
15.98614337,15.56756607
15.56506286,14.4688308
16.26308183,14.4688308
16.19475781,14.25099935
15.66009761,14.4688308
15.46426624,15.56756607
15.81288495,15.56756607
16.10221386,13.94148079
15.96794209,14.76148409
15.39619914,14.4688308
15.34894061,14.4688308
15.94638236,15.56756607
15.72271891,14.4688308
15.83827845,14.4688308
16.04628455,15.56756607
15.80195796,13.94148079
15.92324735,14.4688308
15.12268987,15.56756607
15.87772684,14.25099935
16.16935809,14.25099935
16.09498508,14.4688308
16.14184751,14.4688308
16.05575679,15.56756607
15.64674706,14.4688308
14.0877266,14.2761651
14.16701672,14.2761651
14.28097765,14.2761651
14.33442352,14.2761651
14.1069993,14.2761651
14.22256929,14.2761651
14.22865926,14.2761651
14.24712323,14.2761651
14.13740507,14.2761651
14.34940446,14.2761651
14.40019401,13.94148079
13.69521143,14.2761651
13.70192349,14.58987666
14.23769891,14.2761651
13.35872523,14.2761651
13.33482823,14.2761651
13.49931842,13.81224582
13.48277732,13.81224582
13.90686356,13.81224582
13.39824859,14.2761651
13.44021776,14.2761651
13.27699282,14.2761651
13.37144714,14.2761651
13.6114403,14.2761651
15.68780847,14.2761651
15.72077385,14.2761651
14.27989029,13.94148079
15.01986769,13.94148079
15.10065712,14.76148409
15.34793974,13.94148079
15.03166649,13.94148079
15.1859562,13.94148079
14.62268868,13.94148079
14.67317822,13.94148079
14.99598073,13.94148079
15.30591647,13.94148079
15.27725859,13.94148079
15.57651574,13.94148079
14.58549034,13.94148079
14.67463902,13.94148079
14.433751,13.94148079
15.31320905,13.94148079
15.50071575,13.94148079
14.81113493,13.94148079
14.60154037,13.94148079
15.01350034,13.94148079
14.44932351,13.94148079
15.04212859,14.25099935
15.1539733,14.4688308
15.33101657,14.25099935
14.8682153,14.4688308
15.45816204,14.4688308
15.03767306,14.4688308
14.86340191,14.63628554
15.43352319,14.4688308
14.81277785,14.63628554
14.97800986,14.4688308
14.67140294,14.4688308
15.09758562,14.4688308
14.96853527,14.25099935
14.61664238,14.4688308
14.9252358,14.25099935
14.79971724,14.4688308
14.66175491,14.4688308
15.23389574,14.4688308
15.07719718,14.4688308
15.0667227,14.25099935
15.30087437,14.25099935
14.9088907,14.25099935
15.36625158,14.4688308
14.69108749,14.4688308
14.66235364,14.4688308
14.70473879,14.63628554
15.45792599,14.63628554
15.17678534,13.94148079
15.51250675,13.94148079
14.83312664,13.94148079
15.2258744,13.94148079
15.11180429,13.94148079
15.42666421,13.94148079
15.30719221,13.94148079
15.31510185,14.25099935
15.25644546,15.56756607
15.14041377,15.56756607
14.76341545,15.56756607
14.86059449,15.56756607
14.65133782,15.56756607
15.09697096,15.56756607
15.36374114,14.63628554
15.07424433,15.56756607
15.34391239,15.56756607
15.10943503,15.56756607
15.21063849,15.56756607
14.88369127,15.56756607
14.75137707,15.56756607
15.37139404,14.25099935
15.64500843,15.56756607
15.00904434,15.56756607
14.88508312,15.56756607
14.65084339,15.56756607
15.26771101,15.56756607
15.43130733,15.56756607
15.2372133,13.94148079
15.25277811,15.56756607
15.0147976,15.56756607
14.67423018,15.56756607
15.42481324,14.2761651
15.5228572,13.94148079
14.78381005,13.94148079
15.42813367,13.94148079
14.92897023,13.94148079
14.79197354,13.94148079
15.14651751,13.94148079
15.40049807,14.25099935
15.34476103,14.25099935
14.53620518,14.25099935
14.63200314,14.25099935
15.04130028,14.25099935
14.90822173,14.25099935
14.81938225,14.63628554
14.87718346,14.63628554
15.1764808,14.63628554
14.57239708,14.63628554
15.02736069,14.63628554
14.98999114,14.63628554
14.64268766,14.25099935
14.22325419,14.25099935
15.02242688,14.25099935
14.71798539,14.25099935
15.20721915,14.25099935
14.76390386,14.25099935
14.94417376,14.2761651
14.92512655,14.2761651
14.43664025,13.81224582
15.00579974,13.81224582
15.2990061,13.81224582
14.8542698,14.76148409
14.69877335,14.76148409
14.56306294,14.58987666
14.8482939,14.69818768
14.96908545,14.69818768
14.76094167,14.69818768
14.32533622,14.58987666
14.50633526,14.2761651
14.20274861,13.81224582
14.65310652,13.81224582
14.51982078,13.81224582
14.59494276,13.81224582
14.87964624,13.81224582
14.66703685,13.81224582
15.29233667,13.81224582
14.40771861,13.81224582
14.98605914,13.81224582
14.59659709,13.94148079
13.72651108,13.94148079
14.25336012,13.94148079
14.72758875,13.94148079
14.40529275,13.94148079
14.28962143,13.94148079
14.80866975,13.94148079
14.73545223,13.94148079
13.9658584,13.94148079
14.09741087,13.94148079
14.46526865,13.94148079
14.75862514,13.94148079
14.46477496,15.56756607
14.80282222,15.56756607
14.2880582,15.56756607
13.97040271,15.56756607
14.02196954,15.56756607
13.59541845,15.56756607
14.59345669,15.56756607
14.48795826,14.4688308
14.57584027,15.56756607
14.17355759,15.56756607
14.51492411,15.56756607
14.23313129,15.56756607
14.78006644,15.56756607
14.77957336,15.56756607
14.49328457,15.56756607
14.82735297,15.56756607
13.9793948,15.56756607
14.02783884,15.56756607
14.68867953,15.56756607
13.98377677,15.56756607
14.70217049,15.56756607
14.24492651,14.4688308
14.33977793,15.56756607
14.30571393,15.56756607
14.26746683,15.56756607
14.46759513,15.56756607
14.57583505,15.56756607
14.23325206,15.56756607
14.06901368,15.56756607
14.47752201,15.56756607
14.42334545,15.56756607
14.44853919,14.4688308
14.45115128,15.56756607
14.38244765,15.56756607
13.88869654,15.56756607
13.71078929,15.56756607
14.15507576,15.56756607
14.10541397,15.56756607
14.28784585,14.2761651
13.71057828,14.2761651
13.6112665,13.94148079
14.31160267,13.94148079
14.23417124,14.25099935
13.93947948,14.25099935
14.04037595,14.63628554
13.75989518,14.63628554
14.27470505,14.25099935
13.96272363,14.25099935
14.14914032,14.2761651
14.23178881,13.94148079
14.48314089,14.25099935
14.20817414,14.63628554
14.570255,14.25099935
14.16987903,14.2761651
13.99028322,13.94148079
14.24431444,14.25099935
13.99287359,14.63628554
14.6104474,14.25099935
14.22292601,14.2761651
14.34188007,13.94148079
14.33987356,14.25099935
14.34184427,14.63628554
14.03421752,14.25099935
14.49800178,14.2761651
14.52868232,13.94148079
14.43061735,14.25099935
14.51920499,14.63628554
14.46202741,14.25099935
14.57938535,14.2761651
14.41458906,13.94148079
14.2930091,14.25099935
14.25919715,14.63628554
14.10764732,14.25099935
14.59972006,14.2761651
14.66066204,13.94148079
14.74012375,14.25099935
14.40266523,14.63628554
14.0390144,14.25099935
14.22543039,14.2761651
13.8876823,13.94148079
14.78548727,13.94148079
14.35033744,14.25099935
14.46882969,14.63628554
13.8539525,14.25099935
14.29518218,14.2761651
14.46383939,13.94148079
14.71779422,14.25099935
14.43503265,14.63628554
14.1244206,14.25099935
14.52786315,14.2761651
14.32382069,13.94148079
13.96879208,14.25099935
14.55979156,14.63628554
14.49300755,14.25099935
14.41776522,14.2761651
14.49328209,13.94148079
14.70248718,14.25099935
14.82120013,14.63628554
14.30140937,14.25099935
14.11350358,14.2761651
14.11045065,13.94148079
13.68521538,14.25099935
14.63927403,14.63628554
14.86782454,14.25099935
14.48765789,14.58987666
14.48519599,14.58987666
14.31825166,14.58987666
14.79037597,14.58987666
14.32533205,14.58987666
14.52584552,14.58987666
13.80037329,14.58987666
14.29749834,14.58987666
14.10277523,14.58987666
14.16093544,14.58987666
14.30011981,14.58987666
14.53571408,14.58987666
14.63733912,14.58987666
14.37878013,14.58987666
14.69849826,14.2761651
